d,mstr,mstx,btc,strc,bps
2026-07-08,93.87,8.49,62199.1,86.17,0.002126382231
2026-07-09,93.89,8.49,63205.0,85.71,0.002126382231
2026-07-10,94.64,8.6,63892.01,87.48,0.002126382231
2026-07-13,92.1,8.14,62189.53,87.02,0.002126382231
2026-07-14,97.58,9.08,64548.0,88.21,0.002126382231
2026-07-15,97.47,9.06,64943.61,87.78,0.002126382231
2026-07-16,94.03,8.41,64217.54,85.42,0.002126382231
2026-07-17,94.85,8.54,64096.69,85.29,0.002126382231
2026-07-20,97.82,9.05,65129.95,87.1,0.002126382231
2026-07-21,101.95,9.83,66466.0,88.16,0.002126382231
2026-07-22,100.01,9.42,65830.13,87.45,0.002126382231
2026-07-23,93.63,8.24,64763.58,84.94,0.002126382231
2026-07-24,91.67,7.86,64170.17,86.885,0.002126382231
2026-07-27,98.65,9.04,64915.16,88.32,0.002034843361
2026-07-28,96.16,8.58,63840.0,88.22,0.002034843361
2026-07-29,93.33,8.08,63523.43,87.51,0.002034843361
2026-07-30,97.74,8.79,64723.73,89.5,0.002034843361
2026-07-31,93.28,8.04,62896.75,89.46,0.002034843361
